时间,电机位置,电机力矩,关节实际位置（编码器）,关节理论位置（电机转换）,关节指令位置
0.429998,0,0,1.831,0.031957,-0.667429
0.430998,0,0,1.831,0.031957,-0.658655
0.431998,0,0,1.831,0.031957,-0.649897
0.432998,0,0,1.831,0.031957,-0.641157
0.433998,0,0,1.831,0.031957,-0.632435
0.434998,0,0,1.831,0.031957,-0.623732
0.435998,0,0,1.831,0.031957,-0.61505
0.436998,0,0,1.831,0.031957,-0.60639
0.437998,0,0,1.831,0.031957,-0.597753
0.438998,0,0,1.831,0.031957,-0.58914
0.439998,0,0,1.831,0.031957,-0.580552
0.440998,0,0,1.831,0.031957,-0.57199
0.441998,0,0,1.831,0.031957,-0.563456
0.442998,0,0,1.831,0.031957,-0.55495
0.443998,0,0,1.831,0.031957,-0.546473
0.444998,0,0,1.831,0.031957,-0.538027
0.445998,0,0,1.831,0.031957,-0.529612
0.446998,0,0,1.831,0.031957,-0.521231
0.447998,0,0,1.831,0.031957,-0.512883
0.448998,0,0,1.831,0.031957,-0.50457
0.449998,0,0,1.831,0.031957,-0.496293
0.450998,0,0,1.831,0.031957,-0.488052
0.451998,0,0,1.831,0.031957,-0.47985
0.452998,0,0,1.831,0.031957,-0.471687
0.453998,0,0,1.831,0.031957,-0.463564
0.454998,0,0,1.831,0.031957,-0.455482
0.455998,0,0,1.831,0.031957,-0.447443
0.456998,0,0,1.831,0.031957,-0.439446
0.457998,0,0,1.831,0.031957,-0.431494
0.458998,0,0,1.831,0.031957,-0.423588
0.459998,0,0,1.831,0.031957,-0.415727
0.460998,0,0,1.831,0.031957,-0.407914
0.461998,0,0,1.831,0.031957,-0.400149
0.462998,0,0,1.831,0.031957,-0.392433
0.463998,0,0,1.831,0.031957,-0.384767
0.464998,0,0,1.831,0.031957,-0.377153
0.465998,0,0,1.831,0.031957,-0.369591
0.466998,0,0,1.831,0.031957,-0.362082
0.467998,0,0,1.831,0.031957,-0.354628
0.468998,0,0,1.831,0.031957,-0.347228
0.469997,0,0,1.831,0.031957,-0.339885
0.470997,0,0,1.831,0.031957,-0.332598
0.471997,0,0,1.831,0.031957,-0.325369
0.472997,0,0,1.831,0.031957,-0.3182
0.473997,0,0,1.831,0.031957,-0.31109
0.474997,0,0,1.831,0.031957,-0.30404
0.475997,0,0,1.831,0.031957,-0.297052
0.476997,0,0,1.831,0.031957,-0.290127
0.477997,0,0,1.831,0.031957,-0.283265
0.478997,0,0,1.831,0.031957,-0.276467
0.479997,0,0,1.831,0.031957,-0.269735
0.480997,0,0,1.831,0.031957,-0.263068
0.481997,0,0,1.831,0.031957,-0.256468
0.482997,0,0,1.831,0.031957,-0.249936
0.483997,0,0,1.831,0.031957,-0.243472
0.484997,0,0,1.831,0.031957,-0.237078
0.485997,0,0,1.831,0.031957,-0.230753
0.486997,0,0,1.831,0.031957,-0.2245
0.487997,0,0,1.831,0.031957,-0.218318
0.488997,0,0,1.831,0.031957,-0.212209
0.489997,0,0,1.831,0.031957,-0.206173
0.490997,0,0,1.831,0.031957,-0.200212
0.491997,0,0,1.831,0.031957,-0.194325
0.492997,0,0,1.831,0.031957,-0.188514
0.493997,0,0,1.831,0.031957,-0.182779
0.494997,0,0,1.831,0.031957,-0.177121
0.495997,0,0,1.831,0.031957,-0.171541
0.496997,0,0,1.831,0.031957,-0.166039
0.497997,0,0,1.831,0.031957,-0.160617
0.498997,0,0,1.831,0.031957,-0.155275
0.499997,0,0,1.831,0.031957,-0.150013
0.500997,0,0,1.831,0.031957,-0.144832
0.501997,0,0,1.831,0.031957,-0.139734
0.502997,0,0,1.831,0.031957,-0.134718
0.503997,0,0,1.831,0.031957,-0.129785
0.504997,0,0,1.831,0.031957,-0.124936
0.505997,0,0,1.831,0.031957,-0.120172
0.506997,0,0,1.831,0.031957,-0.115492
0.507997,0,0,1.831,0.031957,-0.110899
0.508997,0,0,1.831,0.031957,-0.106391
0.509997,0,0,1.831,0.031957,-0.101971
0.510997,0,0,1.831,0.031957,-0.0976375
0.511997,0,0,1.831,0.031957,-0.0933923
0.512997,0,0,1.831,0.031957,-0.0892357
0.513997,0,0,1.831,0.031957,-0.0851681
0.514997,0,0,1.831,0.031957,-0.08119
0.515997,0,0,1.831,0.031957,-0.0773021
0.516997,0,0,1.831,0.031957,-0.0735047
0.517997,0,0,1.831,0.031957,-0.0697983
0.518997,0,0,1.831,0.031957,-0.0661835
0.519997,0,0,1.831,0.031957,-0.0626607
0.520997,0,0,1.831,0.031957,-0.0592303
0.521997,0,0,1.831,0.031957,-0.0558928
0.522997,0,0,1.831,0.031957,-0.0526486
0.523997,0,0,1.831,0.031957,-0.0494981
0.524997,0,0,1.831,0.031957,-0.0464418
0.525997,0,0,1.831,0.031957,-0.04348
0.526997,0,0,1.831,0.031957,-0.040613
0.527997,0,0,1.831,0.031957,-0.0378413
0.528997,0,0,1.831,0.031957,-0.0351653
0.529997,0,0,1.831,0.031957,-0.0325852
0.530997,0,0,1.831,0.031957,-0.0301014
0.531997,0,0,1.831,0.031957,-0.0277142
0.532997,0,0,1.831,0.031957,-0.0254239
0.533997,0,0,1.831,0.031957,-0.0232308
0.534997,0,0,1.831,0.031957,-0.0211352
0.535997,0,0,1.831,0.031957,-0.0191374
0.536997,0,0,1.831,0.031957,-0.0172375
0.537997,0,0,1.831,0.031957,-0.0154359
0.538997,0,0,1.831,0.031957,-0.0137328
0.539997,0,0,1.831,0.031957,-0.0121284
0.540997,0,0,1.831,0.031957,-0.0106229
0.541997,0,0,1.831,0.031957,-0.00921653
0.542997,0,0,1.831,0.031957,-0.00790941
0.543997,0,0,1.831,0.031957,-0.00670173
0.544997,0,0,1.831,0.031957,-0.00559366
0.545997,0,0,1.831,0.031957,-0.00458532
0.546997,0,0,1.831,0.031957,-0.00367685
0.547997,0,0,1.831,0.031957,-0.00286837
0.548997,0,0,1.831,0.031957,-0.00215998
0.549996,0,0,1.831,0.031957,-0.00155177
0.550996,0,0,1.831,0.031957,-0.00104382
0.551996,0,0,1.831,0.031957,-0.000636194
0.552996,0,0,1.831,0.031957,-0.000328941
0.553996,0,0,1.831,0.031957,-0.000122102
0.554996,0,0,1.831,0.031957,-1.57044e-05
0.555996,0,0,1.831,0.031957,-9.76152e-06
0.556996,0,0,1.831,0.031957,-0.000104274
0.557996,0,0,1.831,0.031957,-0.00029923
0.558996,0,0,1.831,0.031957,-0.000594604
0.559996,0,0,1.831,0.031957,-0.000990359
0.560996,0,0,1.831,0.031957,-0.00148644
0.561996,0,0,1.831,0.031957,-0.0020828
0.562996,0,0,1.831,0.031957,-0.00277934
0.563996,0,0,1.831,0.031957,-0.00357598
0.564996,0,0,1.831,0.031957,-0.00447262
0.565996,0,0,1.831,0.031957,-0.00546915
